abgetrettenen : ['bub_gb_MbxYAAAAcAAJ_0427.txt', 'line 81', 1]
abgetrucknes : ['bub_gb_MbxYAAAAcAAJ_0492.txt', 'line 17', 1]
abgewiefen : ['bub_gb_MbxYAAAAcAAJ_0882.txt', 'line 85', 2]
abgewies : ['bub_gb_MbxYAAAAcAAJ_0803.txt', 'line 15', 1]
abgeworffen : ['bub_gb_MbxYAAAAcAAJ_0885.txt', 'line 125', 2]
abgieng : ['bub_gb_MbxYAAAAcAAJ_0044.txt', 'line 7', 2]
abgiens : ['bub_gb_MbxYAAAAcAAJ_0667.txt', 'line 83', 1]
abgün : ['bub_gb_MbxYAAAAcAAJ_0242.txt', 'line 89', 1]
abhal : ['bub_gb_MbxYAAAAcAAJ_0793.txt', 'line 78', 1]
abhalffen : ['bub_gb_MbxYAAAAcAAJ_0079.txt', 'line 88', 1]
abhals : ['bub_gb_MbxYAAAAcAAJ_0426.txt', 'line 22', 2]
abhellende : ['bub_gb_MbxYAAAAcAAJ_0207.txt', 'line 59', 1]
abhienge : ['bub_gb_MbxYAAAAcAAJ_0832.txt', 'line 106', 1]
abhohlen : ['bub_gb_MbxYAAAAcAAJ_0049.txt', 'line 13', 1]
abimarchiren : ['bub_gb_MbxYAAAAcAAJ_0693.txt', 'line 111', 1]
abinet : ['bub_gb_MbxYAAAAcAAJ_0495.txt', 'line 47', 1]
abkauffen : ['bub_gb_MbxYAAAAcAAJ_0765.txt', 'line 120', 1]
abkaufs : ['bub_gb_MbxYAAAAcAAJ_0696.txt', 'line 77', 1]
abkrafftig : ['bub_gb_MbxYAAAAcAAJ_0879.txt', 'line 105', 1]
abkurs : ['bub_gb_MbxYAAAAcAAJ_0610.txt', 'line 42', 1]
ablauffen : ['bub_gb_MbxYAAAAcAAJ_0099.txt', 'line 39', 6]
ablauffenden : ['bub_gb_MbxYAAAAcAAJ_0232.txt', 'line 14', 1]
ablauffet : ['bub_gb_MbxYAAAAcAAJ_0132.txt', 'line 6', 2]
ablaufft : ['bub_gb_MbxYAAAAcAAJ_0162.txt', 'line 70', 1]
abld : ['bub_gb_MbxYAAAAcAAJ_0702.txt', 'line 43', 1]
abldfens : ['bub_gb_MbxYAAAAcAAJ_0639.txt', 'line 47', 1]
ablein : ['bub_gb_MbxYAAAAcAAJ_0466.txt', 'line 3', 1]
abler : ['bub_gb_MbxYAAAAcAAJ_0212.txt', 'line 70', 1]
ables : ['bub_gb_MbxYAAAAcAAJ_0320.txt', 'line 53', 1]
ablet : ['bub_gb_MbxYAAAAcAAJ_0179.txt', 'line 109', 1]
abli : ['bub_gb_MbxYAAAAcAAJ_0857.txt', 'line 121', 1]
abliefet : ['bub_gb_MbxYAAAAcAAJ_0050.txt', 'line 53', 1]
ablies : ['bub_gb_MbxYAAAAcAAJ_0082.txt', 'line 2', 1]
abling : ['bub_gb_MbxYAAAAcAAJ_0847.txt', 'line 80', 59]
ablings : ['bub_gb_MbxYAAAAcAAJ_0882.txt', 'line 108', 13]
ablingtem : ['bub_gb_MbxYAAAAcAAJ_0888.txt', 'line 103', 1]
ablo : ['bub_gb_MbxYAAAAcAAJ_0637.txt', 'line 64', 1]
ablung : ['bub_gb_MbxYAAAAcAAJ_0678.txt', 'line 84', 1]
ablöschete : ['bub_gb_MbxYAAAAcAAJ_0387.txt', 'line 12', 1]
abmah : ['bub_gb_MbxYAAAAcAAJ_0613.txt', 'line 20', 1]
abmahlen : ['bub_gb_MbxYAAAAcAAJ_0799.txt', 'line 99', 4]
abnden : ['bub_gb_MbxYAAAAcAAJ_0498.txt', 'line 37', 1]
abneiden : ['bub_gb_MbxYAAAAcAAJ_0304.txt', 'line 13', 1]
abnen : ['bub_gb_MbxYAAAAcAAJ_0220.txt', 'line 77', 1]
abnuzung : ['bub_gb_MbxYAAAAcAAJ_0711.txt', 'line 80', 1]
aboadors : ['bub_gb_MbxYAAAAcAAJ_0234.txt', 'line 111', 1]
aboriret : ['bub_gb_MbxYAAAAcAAJ_0377.txt', 'line 35', 1]
abpflicket : ['bub_gb_MbxYAAAAcAAJ_0309.txt', 'line 43', 1]
abprügelen : ['bub_gb_MbxYAAAAcAAJ_0827.txt', 'line 2', 1]
abprügelt : ['bub_gb_MbxYAAAAcAAJ_0607.txt', 'line 85', 1]
abraam : ['bub_gb_MbxYAAAAcAAJ_0819.txt', 'line 53', 1]
abrau : ['bub_gb_MbxYAAAAcAAJ_0339.txt', 'line 76', 1]
abreiffen : ['bub_gb_MbxYAAAAcAAJ_0306.txt', 'line 112', 1]
abrig : ['bub_gb_MbxYAAAAcAAJ_0604.txt', 'line 76', 1]
abruffen : ['bub_gb_MbxYAAAAcAAJ_0749.txt', 'line 37', 1]
abrünnig : ['bub_gb_MbxYAAAAcAAJ_0809.txt', 'line 54', 1]
abscheeren : ['bub_gb_MbxYAAAAcAAJ_0821.txt', 'line 84', 1]
absches : ['bub_gb_MbxYAAAAcAAJ_0640.txt', 'line 52', 1]
abscheuren : ['bub_gb_MbxYAAAAcAAJ_0573.txt', 'line 109', 1]
abschiedss : ['bub_gb_MbxYAAAAcAAJ_0434.txt', 'line 4', 1]
abschieret : ['bub_gb_MbxYAAAAcAAJ_0276.txt', 'line 9', 1]
abschiesset : ['bub_gb_MbxYAAAAcAAJ_0318.txt', 'line 41', 1]
abschla : ['bub_gb_MbxYAAAAcAAJ_0274.txt', 'line 81', 4]
abschlas : ['bub_gb_MbxYAAAAcAAJ_0677.txt', 'line 3', 2]
abschliessen : ['bub_gb_MbxYAAAAcAAJ_0723.txt', 'line 26', 1]
abschlus : ['bub_gb_MbxYAAAAcAAJ_0051.txt', 'line 55', 1]
abschneis : ['bub_gb_MbxYAAAAcAAJ_0902.txt', 'line 68', 1]
abschnits : ['bub_gb_MbxYAAAAcAAJ_0427.txt', 'line 116', 1]
abschres : ['bub_gb_MbxYAAAAcAAJ_0600.txt', 'line 85', 1]
abschrockete : ['bub_gb_MbxYAAAAcAAJ_0609.txt', 'line 44', 1]
abschröcken : ['bub_gb_MbxYAAAAcAAJ_0457.txt', 'line 58', 1]
abschwäßete : ['bub_gb_MbxYAAAAcAAJ_0260.txt', 'line 57', 1]
abschyres : ['bub_gb_MbxYAAAAcAAJ_0538.txt', 'line 79', 1]
abschöpffen : ['bub_gb_MbxYAAAAcAAJ_0374.txt', 'line 53', 2]
abses : ['bub_gb_MbxYAAAAcAAJ_0847.txt', 'line 48', 1]
abseßen : ['bub_gb_MbxYAAAAcAAJ_0858.txt', 'line 39', 1]
absonder : ['bub_gb_MbxYAAAAcAAJ_0648.txt', 'line 10', 7]
absonderli : ['bub_gb_MbxYAAAAcAAJ_0510.txt', 'line 26', 3]
absonders : ['bub_gb_MbxYAAAAcAAJ_0674.txt', 'line 93', 11]
absondes : ['bub_gb_MbxYAAAAcAAJ_0489.txt', 'line 3', 1]
absons : ['bub_gb_MbxYAAAAcAAJ_0852.txt', 'line 6', 6]
abstats : ['bub_gb_MbxYAAAAcAAJ_0762.txt', 'line 29', 1]
abstraffen : ['bub_gb_MbxYAAAAcAAJ_0616.txt', 'line 89', 2]
abströc : ['bub_gb_MbxYAAAAcAAJ_0692.txt', 'line 98', 1]
abströhmende : ['bub_gb_MbxYAAAAcAAJ_0252.txt', 'line 83', 1]
abstunde : ['bub_gb_MbxYAAAAcAAJ_0819.txt', 'line 15', 2]
absund : ['bub_gb_MbxYAAAAcAAJ_0754.txt', 'line 9', 1]
abtangen : ['bub_gb_MbxYAAAAcAAJ_0594.txt', 'line 104', 1]
abter : ['bub_gb_MbxYAAAAcAAJ_0274.txt', 'line 118', 1]
abtheilen : ['bub_gb_MbxYAAAAcAAJ_0079.txt', 'line 72', 1]
abthun : ['bub_gb_MbxYAAAAcAAJ_0673.txt', 'line 16', 2]
abtrei : ['bub_gb_MbxYAAAAcAAJ_0351.txt', 'line 23', 1]
abtreta : ['bub_gb_MbxYAAAAcAAJ_0111.txt', 'line 103', 1]
abtrets : ['bub_gb_MbxYAAAAcAAJ_0662.txt', 'line 94', 1]
abtrinnig : ['bub_gb_MbxYAAAAcAAJ_0869.txt', 'line 58', 3]
abtropffet : ['bub_gb_MbxYAAAAcAAJ_0468.txt', 'line 82', 1]
abtruckneten : ['bub_gb_MbxYAAAAcAAJ_0795.txt', 'line 21', 1]
abuon : ['bub_gb_MbxYAAAAcAAJ_0281.txt', 'line 43', 1]
abwe : ['bub_gb_MbxYAAAAcAAJ_0098.txt', 'line 67', 1]
abwechses : ['bub_gb_MbxYAAAAcAAJ_0549.txt', 'line 117', 1]
abweis : ['bub_gb_MbxYAAAAcAAJ_0775.txt', 'line 29', 2]
abwelzen : ['bub_gb_MbxYAAAAcAAJ_0337.txt', 'line 8', 1]
abwens : ['bub_gb_MbxYAAAAcAAJ_0427.txt', 'line 95', 1]
abwerffung : ['bub_gb_MbxYAAAAcAAJ_0188.txt', 'line 10', 2]
abwohnenes : ['bub_gb_MbxYAAAAcAAJ_0417.txt', 'line 10', 1]
abwähen : ['bub_gb_MbxYAAAAcAAJ_0098.txt', 'line 43', 1]
abyffinien : ['bub_gb_MbxYAAAAcAAJ_0166.txt', 'line 18', 2]
abyflinern : ['bub_gb_MbxYAAAAcAAJ_0396.txt', 'line 105', 1]
abyflinien : ['bub_gb_MbxYAAAAcAAJ_0167.txt', 'line 32', 2]
abyfliniern : ['bub_gb_MbxYAAAAcAAJ_0178.txt', 'line 66', 1]
abyflinifchen : ['bub_gb_MbxYAAAAcAAJ_0458.txt', 'line 69', 1]
abyilin : ['bub_gb_MbxYAAAAcAAJ_0179.txt', 'line 114', 1]
abyllinischen : ['bub_gb_MbxYAAAAcAAJ_0397.txt', 'line 75', 1]
abylonischen : ['bub_gb_MbxYAAAAcAAJ_0460.txt', 'line 53', 1]
abzielete : ['bub_gb_MbxYAAAAcAAJ_0835.txt', 'line 114', 1]
abznnehmen : ['bub_gb_MbxYAAAAcAAJ_0525.txt', 'line 25', 1]
abzubre : ['bub_gb_MbxYAAAAcAAJ_0861.txt', 'line 97', 1]
abzufeegeln : ['bub_gb_MbxYAAAAcAAJ_0885.txt', 'line 67', 1]
abzuftraffen : ['bub_gb_MbxYAAAAcAAJ_0050.txt', 'line 108', 1]
abzuhringen : ['bub_gb_MbxYAAAAcAAJ_0401.txt', 'line 74', 1]
abzuhäuten : ['bub_gb_MbxYAAAAcAAJ_0572.txt', 'line 90', 1]
abzukauffen : ['bub_gb_MbxYAAAAcAAJ_0126.txt', 'line 112', 1]
abzunch : ['bub_gb_MbxYAAAAcAAJ_0740.txt', 'line 28', 1]
abzuneh : ['bub_gb_MbxYAAAAcAAJ_0428.txt', 'line 116', 3]
abzus : ['bub_gb_MbxYAAAAcAAJ_0661.txt', 'line 85', 9]
abzuschlas : ['bub_gb_MbxYAAAAcAAJ_0782.txt', 'line 66', 1]
abzuses : ['bub_gb_MbxYAAAAcAAJ_0859.txt', 'line 89', 1]
abzustat : ['bub_gb_MbxYAAAAcAAJ_0270.txt', 'line 119', 1]
abzustossen : ['bub_gb_MbxYAAAAcAAJ_0335.txt', 'line 103', 1]
