beschmieden : ['26.txt', 'line 15', 1]
beschmirte : ['14.txt', 'line 72', 1]
beschuldi : ['31.txt', 'line 13', 1]
beschwehrlicheplage : ['45.txt', 'line 34', 1]
beschwehrlichkeit : ['73.txt', 'line 68', 1]
beschwehrungs : ['06.txt', 'line 38', 1]
besiegern : ['77.txt', 'line 52', 1]
besollern : ['26.txt', 'line 3', 1]
besondereeigenschafft : ['72.txt', 'line 99', 1]
besonderesvorrecht : ['32.txt', 'line 45', 1]
besonderntopff : ['09.txt', 'line 25', 1]
bestärcken : ['55.txt', 'line 40', 1]
besuchetdie : ['62.txt', 'line 51', 1]
besuchetworden : ['10.txt', 'line 80', 1]
beteneinige : ['29.txt', 'line 54', 1]
betrübnisbey : ['36.txt', 'line 46', 2]
betrügerey : ['15.txt', 'line 69', 1]
betterinihre : ['03.txt', 'line 4', 1]
betterinnen : ['22.txt', 'line 12', 2]
betwas : ['48.txt', 'line 3', 1]
bewands : ['10.txt', 'line 44', 1]
bewegwerden : ['65.txt', 'line 30', 1]
beweißstücken : ['23.txt', 'line 29', 1]
bewindhabern : ['26.txt', 'line 86', 2]
bewirthen : ['17.txt', 'line 5', 2]
bewirthet : ['20.txt', 'line 106', 1]
beydem : ['69.txt', 'line 39', 3]
beydenhottentotten : ['18.txt', 'line 46', 2]
beygetragen : ['73.txt', 'line 65', 1]
beyhottentotten : ['44.txt', 'line 59', 1]
beyihnen : ['14.txt', 'line 32', 1]
beyihren : ['60.txt', 'line 100', 1]
beynacht : ['58.txt', 'line 18', 2]
beyrothen : ['45.txt', 'line 5', 1]
beyschaff : ['79.txt', 'line 61', 1]
beyund : ['19.txt', 'line 88', 1]
beywohnen : ['42.txt', 'line 95', 1]
beyzubringen : ['18.txt', 'line 34', 3]
bezah : ['20.txt', 'line 102', 1]
bezahlenals : ['20.txt', 'line 103', 1]
bezahlenlassen : ['37.txt', 'line 87', 1]
bezeugete : ['79.txt', 'line 15', 1]
beſuchung : ['01.txt', 'line 30', 1]
bfall : ['18.txt', 'line 95', 1]
bfeq : ['19.txt', 'line 61', 2]
bfremder : ['20.txt', 'line 98', 1]
bfurcht : ['21.txt', 'line 58', 1]
bfähret : ['24.txt', 'line 31', 1]
bgarten : ['21.txt', 'line 77', 1]
bgehen : ['33.txt', 'line 9', 1]
bgeistliche : ['22.txt', 'line 54', 1]
bgeschiehet : ['02.txt', 'line 9', 1]
bgewogenheit : ['23.txt', 'line 29', 1]
bgiebet : ['23.txt', 'line 98', 1]
bgrausame : ['24.txt', 'line 77', 1]
bgrüneklof : ['24.txt', 'line 102', 1]
bgänse : ['21.txt', 'line 73', 1]
bhaben : ['26.txt', 'line 83', 2]
bhandels : ['25.txt', 'line 88', 1]
bhat : ['21.txt', 'line 108', 6]
bhauptwe : ['26.txt', 'line 15', 1]
bhauß : ['21.txt', 'line 85', 1]
bheisset : ['02.txt', 'line 9', 1]
bhennen : ['27.txt', 'line 12', 1]
bhindernüssen : ['27.txt', 'line 68', 1]
biate : ['01.txt', 'line 2', 1]
bietendenge : ['63.txt', 'line 89', 1]
biethen : ['69.txt', 'line 4', 1]
bihre : ['02.txt', 'line 9', 1]
bincksen : ['63.txt', 'line 59', 1]
biren : ['10.txt', 'line 3', 1]
bkaninichen : ['35.txt', 'line 92', 1]
bkley : ['37.txt', 'line 57', 1]
bkommen : ['21.txt', 'line 45', 1]
bkommet : ['24.txt', 'line 37', 1]
bkorsire : ['38.txt', 'line 16', 1]
bkrampff : ['38.txt', 'line 95', 1]
bkönigs : ['38.txt', 'line 3', 1]
bkönnen : ['02.txt', 'line 3', 1]
blahung : ['21.txt', 'line 27', 1]
blats : ['77.txt', 'line 4', 1]
blernen : ['02.txt', 'line 3', 1]
blesio : ['22.txt', 'line 117', 2]
blesius : ['06.txt', 'line 117', 1]
bliren : ['09.txt', 'line 129', 1]
blutsanger : ['06.txt', 'line 141', 1]
bläset : ['46.txt', 'line 57', 2]
blässet : ['44.txt', 'line 43', 1]
blätiges : ['63.txt', 'line 45', 1]
