dargeleget : ['12.txt', 'line 50', 1]
daron : ['30.txt', 'line 93', 1]
darummuß : ['05.txt', 'line 11', 1]
darzutuhn : ['14.txt', 'line 78', 1]
dasenige : ['19.txt', 'line 55', 2]
dasjeni : ['05.txt', 'line 28', 1]
dassenige : ['26.txt', 'line 36', 5]
datiret : ['62.txt', 'line 55', 1]
dauerhaffte : ['48.txt', 'line 57', 1]
daufrichtige : ['08.txt', 'line 80', 1]
dazumahls : ['66.txt', 'line 105', 6]
dazwi : ['19.txt', 'line 47', 1]
dder : ['06.txt', 'line 65', 1]
deesen : ['14.txt', 'line 34', 1]
defendren : ['32.txt', 'line 91', 1]
degreiffen : ['04.txt', 'line 54', 1]
deliberiren : ['57.txt', 'line 45', 1]
demienigen : ['29.txt', 'line 12', 1]
demüthigst : ['16.txt', 'line 70', 1]
dence : ['23.txt', 'line 42', 1]
dencke : ['06.txt', 'line 101', 2]
denenenigen : ['44.txt', 'line 105', 2]
denenigen : ['17.txt', 'line 84', 1]
denenjenigen : ['26.txt', 'line 60', 2]
denenselbi : ['24.txt', 'line 106', 1]
denenselbigen : ['44.txt', 'line 43', 2]
denkwür : ['56.txt', 'line 83', 1]
denoch : ['61.txt', 'line 29', 1]
dependen : ['62.txt', 'line 85', 1]
depossessirung : ['10.txt', 'line 105', 1]
deraufrichtung : ['55.txt', 'line 32', 1]
derbung : ['53.txt', 'line 76', 1]
dereinsten : ['33.txt', 'line 42', 1]
dereite : ['10.txt', 'line 60', 1]
dererjenigen : ['37.txt', 'line 36', 2]
derhohlten : ['23.txt', 'line 19', 1]
derjem : ['19.txt', 'line 90', 1]
derländische : ['48.txt', 'line 51', 1]
derreichen : ['41.txt', 'line 82', 1]
derseni : ['13.txt', 'line 26', 1]
dersprechliche : ['58.txt', 'line 53', 1]
derwärts : ['33.txt', 'line 104', 1]
desglei : ['23.txt', 'line 17', 1]
desperaren : ['64.txt', 'line 88', 1]
destowe : ['45.txt', 'line 106', 1]
deten : ['60.txt', 'line 34', 1]
deutli : ['20.txt', 'line 56', 2]
deßwillen : ['24.txt', 'line 72', 2]
diariis : ['09.txt', 'line 21', 1]
diarus : ['09.txt', 'line 39', 1]
dicin : ['25.txt', 'line 79', 1]
diefe : ['30.txt', 'line 87', 1]
diefenigen : ['35.txt', 'line 98', 1]
diegeni : ['16.txt', 'line 11', 1]
diegenige : ['20.txt', 'line 105', 1]
diegenigen : ['44.txt', 'line 115', 1]
dierer : ['51.txt', 'line 30', 1]
dierern : ['51.txt', 'line 101', 1]
diesenigen : ['24.txt', 'line 61', 10]
diesesmal : ['09.txt', 'line 74', 2]
diesseit : ['07.txt', 'line 79', 1]
digkeiten : ['11.txt', 'line 47', 1]
diglich : ['06.txt', 'line 57', 1]
dische : ['47.txt', 'line 48', 3]
dischen : ['14.txt', 'line 38', 1]
ditori : ['52.txt', 'line 85', 1]
ditten : ['04.txt', 'line 19', 1]
djeweil : ['43.txt', 'line 71', 2]
doncker : ['57.txt', 'line 80', 1]
dones : ['22.txt', 'line 104', 1]
donnerende : ['64.txt', 'line 31', 1]
doppelma : ['02.txt', 'line 64', 1]
dorzug : ['12.txt', 'line 72', 1]
drackenstein : ['55.txt', 'line 14', 4]
draff : ['49.txt', 'line 25', 1]
dres : ['62.txt', 'line 84', 1]
drigsten : ['38.txt', 'line 59', 1]
droheten : ['61.txt', 'line 83', 2]
dten : ['04.txt', 'line 83', 1]
duelliren : ['62.txt', 'line 12', 1]
duncklen : ['09.txt', 'line 67', 1]
durchschiessen : ['36.txt', 'line 21', 1]
durf : ['08.txt', 'line 13', 2]
durfften : ['43.txt', 'line 18', 1]
durmm : ['40.txt', 'line 17', 1]
döf : ['38.txt', 'line 104', 1]
dörf : ['42.txt', 'line 43', 1]
dörffer : ['39.txt', 'line 35', 4]
dörfflas : ['03.txt', 'line 51', 1]
dörffte : ['56.txt', 'line 5', 2]
düncket : ['20.txt', 'line 70', 3]
düncketen : ['24.txt', 'line 16', 1]
dürf : ['48.txt', 'line 43', 1]
dürff : ['15.txt', 'line 110', 1]
dürffte : ['18.txt', 'line 95', 5]
ecan : ['12.txt', 'line 43', 1]
edictale : ['59.txt', 'line 5', 1]
eenephias : ['24.txt', 'line 5', 1]
eerelle : ['55.txt', 'line 46', 1]
egister : ['04.txt', 'line 58', 1]
ehmals : ['27.txt', 'line 68', 1]
ehun : ['41.txt', 'line 88', 1]
eiffee : ['18.txt', 'line 74', 1]
eimmart : ['02.txt', 'line 62', 1]
eimpfinden : ['38.txt', 'line 34', 1]
einagen : ['39.txt', 'line 8', 1]
einfält : ['25.txt', 'line 99', 1]
einge : ['18.txt', 'line 19', 2]
eingefargte : ['65.txt', 'line 110', 1]
eingeführet : ['55.txt', 'line 60', 1]
eingemenget : ['65.txt', 'line 19', 1]
eingemischet : ['62.txt', 'line 30', 1]
eingescharffet : ['31.txt', 'line 47', 1]
eingeses : ['54.txt', 'line 96', 1]
eingewurtzel : ['44.txt', 'line 73', 1]
einigstes : ['02.txt', 'line 101', 1]
einkünff : ['50.txt', 'line 62', 2]
einneh : ['05.txt', 'line 87', 1]
einsten : ['12.txt', 'line 24', 1]
einstim : ['15.txt', 'line 102', 1]
eintra : ['54.txt', 'line 65', 1]
eintringen : ['66.txt', 'line 48', 1]
einwoh : ['59.txt', 'line 21', 1]
einwohrer : ['51.txt', 'line 96', 1]
einwvohnern : ['11.txt', 'line 96', 1]
einzuneh : ['63.txt', 'line 70', 1]
einzuzie : ['11.txt', 'line 55', 1]
eissaris : ['49.txt', 'line 85', 1]
eitlisirte : ['27.txt', 'line 56', 1]
elephan : ['40.txt', 'line 86', 1]
elephants : ['40.txt', 'line 88', 1]
emfehle : ['29.txt', 'line 89', 1]
emfältig : ['30.txt', 'line 22', 1]
emolu : ['53.txt', 'line 66', 1]
emolumena : ['53.txt', 'line 30', 1]
emolumenten : ['53.txt', 'line 53', 6]
empel : ['57.txt', 'line 78', 1]
empfänget : ['44.txt', 'line 28', 1]
engellän : ['40.txt', 'line 105', 1]
engelländern : ['27.txt', 'line 75', 1]
engli : ['27.txt', 'line 69', 1]
entde : ['45.txt', 'line 89', 1]
entie : ['57.txt', 'line 59', 1]
entledi : ['65.txt', 'line 28', 1]
entliesse : ['11.txt', 'line 79', 1]
entris : ['16.txt', 'line 79', 1]
entschlos : ['59.txt', 'line 53', 1]
entschuld : ['19.txt', 'line 115', 1]
entwi : ['44.txt', 'line 89', 1]
eperance : ['04.txt', 'line 47', 1]
eraber : ['64.txt', 'line 34', 1]
eramine : ['42.txt', 'line 48', 1]
erautung : ['54.txt', 'line 75', 1]
erbauete : ['54.txt', 'line 100', 1]
erbo : ['06.txt', 'line 87', 1]
erdo : ['07.txt', 'line 67', 1]
erdulten : ['58.txt', 'line 65', 1]
erfoderen : ['43.txt', 'line 95', 1]
erfoderten : ['48.txt', 'line 87', 1]
erfoderung : ['19.txt', 'line 44', 1]
erfu : ['12.txt', 'line 56', 1]
erfähr : ['49.txt', 'line 66', 1]
erhel : ['34.txt', 'line 89', 1]
erinnes : ['40.txt', 'line 99', 1]
erka : ['12.txt', 'line 86', 1]
